HOUSEID,PERSONID,TRPTRANS,TRPACCMP,DRVRCNT,EDUC,HHFAMINC,HHSIZE,HHSTATE,HHVEHCNT,HOMEOWN,R_AGE_IMP,R_SEX_IMP,TRPMILES,TRVLCMIN,URBRUR,WORKER,WHYTRP1S,STRTTIME,TRIPPURP,choice,DA,SR,Transit,Bicycle,Walk,av_DA,av_SR,av_Transit,av_Bicycle,av_Walk,constant,DRVRCNT_imp,DRVRCNT_zero,DRVRCNT_one,DRVRCNT_two,DRVRCNT_3GE,education,less_Bachelor,Bachelor,Graduate,hhincome,hhincome_1,hhincome_2,hhincome_3,hhincome_4,hhsize,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize3GE,HHVEHCNT_imp,veh_zero,veh_one,veh_two,veh_3GE,AGE,age_LE18,age18_24,age25_29,age30_44,age45_59,age60_74,age_75GE,Urban_Rural,Employ_status,Gender,Norm_tripmile,Norm_triptime,triptime_scaled,triptime_log,IndivID,ALT_16,ALT_23,ALT_45
30001438,2,4,0,2,3,7,2,AZ,3,1,61,2,0.906,3,1,1,10,748,HBW,1,1,0,0,0,0,1,0,0,0,1,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,1,0,1,1,0,0.000309221,0.001906578,0.03,0.477121255,300014382,4,4,2
30001442,2,3,0,2,5,11,2,TX,3,1,69,1,9.203,20,1,1,10,845,HBW,1,1,0,0,0,0,1,1,0,0,0,1,3,0,0,0,1,3,0,0,1,4,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,1,0,1,1,1,0.003144143,0.018112488,0.2,1.301029996,300014422,2,3,4
30001447,3,3,0,5,4,9,5,TX,4,1,24,2,42.338,60,1,1,10,815,HBW,1,1,0,0,0,0,1,1,0,0,0,1,4,0,0,0,1,2,0,1,0,4,0,0,0,0,5,0,0,0,0,1,1,4,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0.014465721,0.056244042,0.6,1.77815125,300014473,4,1,4
30001460,1,3,0,2,4,10,4,MD,2,1,42,2,45.136,45,1,1,10,715,HBW,1,1,0,0,0,0,1,1,0,0,0,1,3,0,0,0,1,2,0,1,0,4,0,0,0,0,4,0,0,0,1,0,1,3,0,0,0,1,4,0,0,0,1,0,0,0,1,1,0,0.015421743,0.041944709,0.45,1.653212514,300014601,4,2,4
30001482,1,4,0,1,4,5,4,TX,1,2,30,2,9.455,26,1,1,10,730,HBW,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,2,0,1,0,2,0,0,1,0,4,0,0,0,1,0,1,2,0,0,1,0,4,0,0,0,1,0,0,0,1,1,0,0.003230246,0.023832221,0.26,1.414973348,300014821,2,4,4
30001506,2,3,0,2,5,6,2,TX,2,1,30,1,11.713,15,1,1,10,725,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,3,0,0,1,3,0,0,0,1,2,0,1,0,0,0,0,3,0,0,0,1,4,0,0,0,1,0,0,0,1,1,1,0.00400176,0.013346044,0.15,1.176091259,300015062,-1,-1,-1
30001526,1,3,0,1,3,3,1,SC,1,1,63,2,14.118,35,1,1,10,635,HBW,1,1,0,0,0,0,1,1,0,0,1,1,2,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,1,0,1,1,0,0.004823502,0.032411821,0.35,1.544068044,300015261,2,3,2
30001535,2,3,0,3,2,9,4,CA,4,1,37,1,39.351,67,2,1,10,757,HBW,1,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,1,1,1,0,0,4,0,0,0,0,4,0,0,0,1,0,1,4,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,0.013445122,0.062917064,0.67,1.826074803,300015352,-1,-1,-1
30001556,2,1,0,2,3,8,2,TX,2,1,58,2,0.238,9,1,1,10,750,HBW,5,0,0,0,0,1,0,1,0,0,1,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,2,0,1,0,0,0,0,3,0,0,0,1,5,0,0,0,0,1,0,0,1,1,0,8.10E-05,0.007626311,0.09,0.954242509,300015562,4,1,4
30001575,1,3,0,1,5,5,1,WI,1,2,28,2,1.092,3,1,1,10,722,HBW,1,1,0,0,0,0,1,1,1,1,1,1,2,0,0,1,0,3,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,3,0,0,1,0,0,0,0,1,1,0,0.000372773,0.001906578,0.03,0.477121255,300015751,1,3,3
30001608,1,3,0,2,5,8,2,GA,2,2,31,1,21.707,30,1,1,10,850,HBW,1,1,0,0,0,0,1,0,1,0,0,1,3,0,0,0,1,3,0,0,1,3,0,0,0,1,2,0,1,0,0,0,0,3,0,0,0,1,4,0,0,0,1,0,0,0,1,1,1,0.007416514,0.027645377,0.3,1.477121255,300016081,3,4,4
30001608,2,3,0,2,5,8,2,GA,2,2,31,2,18.015,30,1,1,10,900,HBW,1,1,0,0,0,0,1,0,1,0,0,1,3,0,0,0,1,3,0,0,1,3,0,0,0,1,2,0,1,0,0,0,0,3,0,0,0,1,4,0,0,0,1,0,0,0,1,1,0,0.00615503,0.027645377,0.3,1.477121255,300016082,3,4,4
30001616,1,3,0,1,2,6,1,NC,4,1,53,1,57.378,70,1,1,10,615,HBW,1,1,0,0,0,0,1,0,1,0,0,1,2,0,0,1,0,1,1,0,0,3,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,1,1,1,0.019604594,0.06577693,0.7,1.84509804,300016161,1,4,4
30001645,2,3,1,2,3,6,2,WI,2,1,62,1,2.412,15,1,1,10,645,HBW,2,0,1,0,0,0,1,1,1,0,1,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,2,0,1,0,0,0,0,3,0,0,0,1,6,0,0,0,0,0,1,0,1,1,1,0.000823791,0.013346044,0.15,1.176091259,300016452,3,3,2
